tau,R_X_empirica,R_X_teorica
-1.3884628209403136,1.8700281341530745,1.8700610580984756
-1.3864621540513504,1.8217893039779656,1.8218267123211087
-1.3844614871623875,1.7663559135394953,1.7663976547263491
-1.3824608202734245,1.7039468788360388,1.7039927843417608
-1.3804601533844616,1.6348086638889876,1.63485854889773
-1.3784594864954987,1.559214307413928,1.559267971562352
-1.3764588196065355,1.4774623445437605,1.4775195727252854
-1.3744581527175725,1.3898756278620674,1.3899361910885906
-1.3724574858286096,1.2968000524026675,1.2968637087202879
-1.3704568189396467,1.1986031896505547,1.1986696851057437
-1.3684561520506837,1.0956728359387857,1.0957419055910067
-1.3664554851617206,0.9884154809739506,0.9884868499507774
-1.3644548182727576,0.8772547025382754,0.8773280871288851
-1.3624541513837947,0.7626294937079654,0.7627046024904193
-1.3604534844948317,0.6449925291938811,0.6450690641919489
-1.3584528176058688,0.5248083776510755,0.524886035515956
-1.3564521507169056,0.4025516670170836,0.4026301402292171
-1.3544514838279427,0.278705210124365,0.2787841882107625
-1.3524508169389797,0.15375809798917395,0.15383726875131518
-1.3504501500500168,0.028203768306792127,0.028282819054247094
-1.3484494831610538,-0.09746194321903204,-0.0973833244340737
-1.3464488162720907,-0.22274276101680227,-0.22266488416896485
-1.3444481493831277,-0.34714392952511447,-0.34706710139414315
-1.3424474824941648,-0.4701741670677233,-0.47009869003049065
-1.3404468156052018,-0.5913476060096451,-0.5912737768504722
-1.338446148716239,-0.710185711532286,-0.7101138202764531
-1.3364454818272757,-0.8262191714500214,-0.8261495002249222
-1.3344448149383128,-0.9389897496050141,-0.9389225715333654
-1.3324441480493499,-1.0480520955208967,-1.04798767365059
-1.330443481160387,-1.1529755031686812,-1.152914089443215
-1.328442814271424,-1.2533456118992272,-1.2532874461728254
-1.3264421473824608,-1.3487660428249926,-1.3487113519263545
-1.3244414804934979,-1.4388599641887123,-1.4388089610368877
-1.322440813604535,-1.5232715795370924,-1.5232244623130426
-1.320440146715572,-1.6016675328224672,-1.6016244841995135
-1.318439479826609,-1.673738224883428,-1.6736994113195358
-1.3164388129376459,-1.7391990361054148,-1.7391646072000582
-1.314438146048683,-1.7977914504327719,-1.7977615383508998
-1.31243747915972,-1.8492840762933533,-1.8492587952586652
-1.310436812270757,-1.8934735604038606,-1.8934530062632764
-1.308436145381794,-1.9301853908471525,-1.9301696407082154
-1.306435478492831,-1.959274586250018,-1.9592636981925444
-1.304434811603868,-1.9806262683397478,-1.9806202812027915
-1.302434144714905,-1.994156115618361,-1.9941550488633344
-1.300433477825942,-1.999810696362863,-1.999814550013218
